iter	MultiClass
0	1.08069257
1	1.063147746
2	1.04616718
3	1.029621397
4	1.013560283
5	0.9980200326
6	0.9837521771
7	0.9688535382
8	0.9543724559
9	0.9402397593
10	0.9265536615
11	0.9141103371
12	0.9010976893
13	0.8882572056
14	0.8757023569
15	0.863451795
16	0.8514977299
17	0.8397956868
18	0.8283788758
19	0.8172036054
20	0.8062972492
21	0.7956029078
22	0.7851194011
23	0.7751755537
24	0.7651090963
25	0.7552720918
26	0.7456764783
27	0.7367369802
28	0.7281392529
29	0.7190266472
30	0.7100993385
31	0.7013570228
32	0.6927774647
33	0.6843465653
34	0.6760791912
35	0.6679601529
36	0.6600034464
37	0.6522050406
38	0.6445346717
39	0.6370081744
40	0.629673619
41	0.6224426882
42	0.6153643125
43	0.6083525597
44	0.6014848012
45	0.5949765874
46	0.5883095652
47	0.581976517
48	0.5755299382
49	0.5692015814
50	0.5630211854
51	0.556892597
52	0.5508980007
53	0.5449533964
54	0.53927364
55	0.5337438343
56	0.5278870093
57	0.5226451961
58	0.5171163525
59	0.5115156125
60	0.5061581923
61	0.501050032
62	0.4958811555
63	0.4907612784
64	0.4857134657
65	0.4807365193
66	0.4758510504
67	0.4710363776
68	0.4668442012
69	0.4621541509
70	0.4575380433
71	0.4529865818
72	0.4485097424
73	0.4440981184
74	0.4395849867
75	0.4351714344
76	0.430953081
77	0.4265619667
78	0.4222041736
79	0.4181289282
80	0.4139321406
81	0.4087300494
82	0.4036074007
83	0.3985201175
84	0.3935333748
85	0.3886095577
86	0.3837674469
87	0.3790304764
88	0.374348263
89	0.3697447154
90	0.365271821
91	0.3608273142
92	0.3564799319
93	0.3522489596
94	0.348297365
95	0.3441181439
96	0.3399779853
97	0.3359465944
98	0.3319297503
99	0.3279892972
100	0.3240728018
101	0.3202796788
102	0.3165022578
103	0.3127927928
104	0.3091258312
105	0.305497623
106	0.3019792483
107	0.2984603523
108	0.2950375464
109	0.291634846
110	0.2882647014
111	0.2850032327
112	0.2816983255
113	0.2784670142
114	0.275294673
115	0.2721601854
116	0.2690473329
117	0.2659873106
118	0.2629758935
119	0.26007726
120	0.257148581
121	0.2542629485
122	0.251395153
123	0.2485862562
124	0.2457950114
125	0.2430178804
126	0.2402921404
127	0.2376030157
128	0.2349566832
129	0.2323548153
130	0.2297800399
131	0.2272372798
132	0.2247158041
133	0.2222378789
134	0.219789911
135	0.2173747666
136	0.2149868326
137	0.212636132
138	0.2103032179
139	0.2079791508
140	0.2057014413
141	0.2034808109
142	0.2012748468
143	0.199223724
144	0.1970583405
145	0.1949220885
146	0.1928095025
147	0.1907178246
148	0.1886583264
149	0.1866697554
150	0.1846483429
151	0.1826598049
152	0.1806992105
153	0.1787654062
154	0.1768499491
155	0.1749670705
156	0.1730994196
157	0.1712691792
158	0.1694637782
159	0.167657805
160	0.1658736003
161	0.1641098674
162	0.1623643187
163	0.1606475897
164	0.1589479306
165	0.1572606522
166	0.155609057
167	0.1539784385
168	0.1523432617
169	0.1507475032
170	0.1491753701
171	0.147609192
172	0.1460591199
173	0.1445420951
174	0.1430149226
175	0.1415100077
176	0.1400414589
177	0.1385837754
178	0.1371296619
179	0.1356867097
180	0.1342791842
181	0.1328790807
182	0.1314883787
183	0.130112077
184	0.1287679601
185	0.1274379818
186	0.1261296575
187	0.1248668379
188	0.1235708209
189	0.1222871078
190	0.1210347758
191	0.1197882226
192	0.1185466083
193	0.1173197328
194	0.116110368
195	0.1149253197
196	0.1137377578
197	0.1125813529
198	0.1114166311
199	0.1102711725
