iter	Passed	Remaining
0	160	31922
1	183	18138
2	206	13562
3	226	11120
4	248	9710
5	270	8743
6	292	8053
7	315	7560
8	338	7182
9	363	6902
10	386	6636
11	409	6420
12	433	6229
13	456	6061
14	481	5938
15	505	5811
16	544	5863
17	611	6182
18	637	6070
19	661	5957
20	685	5843
21	709	5741
22	732	5638
23	755	5543
24	778	5448
25	801	5361
26	824	5282
27	847	5206
28	869	5126
29	891	5053
30	914	4985
31	937	4924
32	960	4861
33	999	4881
34	1022	4820
35	1042	4750
36	1064	4690
37	1085	4629
38	1106	4569
39	1128	4512
40	1151	4464
41	1172	4410
42	1194	4360
43	1214	4306
44	1236	4257
45	1256	4206
46	1277	4157
47	1298	4110
48	1317	4061
49	1339	4019
50	1360	3974
51	1384	3941
52	1449	4020
53	1482	4007
54	1511	3985
55	1533	3943
56	1554	3899
57	1578	3865
58	1599	3821
59	1618	3775
60	1639	3735
61	1664	3704
62	1706	3711
63	1729	3674
64	1748	3630
65	1768	3589
66	1788	3550
67	1808	3510
68	1828	3472
69	1849	3434
70	1870	3399
71	1890	3360
72	1910	3323
73	1930	3287
74	1949	3249
75	1971	3216
76	1993	3184
77	2015	3152
78	2052	3143
79	2073	3109
80	2094	3077
81	2114	3043
82	2135	3010
83	2155	2977
84	2176	2944
85	2196	2911
86	2217	2880
87	2240	2851
88	2260	2819
89	2279	2786
90	2301	2756
91	2319	2723
92	2340	2692
93	2362	2664
94	2381	2632
95	2402	2602
96	2421	2571
97	2442	2541
98	2461	2511
99	2482	2482
100	2503	2454
101	2522	2423
102	2542	2394
103	2564	2367
104	2584	2338
105	2609	2313
106	2642	2296
107	2665	2270
108	2685	2241
109	2705	2213
110	2724	2184
111	2744	2156
112	2764	2128
113	2784	2100
114	2806	2074
115	2825	2046
116	2846	2019
117	2866	1992
118	2887	1965
119	2907	1938
120	2926	1910
121	2946	1883
122	2968	1858
123	2988	1831
124	3010	1806
125	3030	1779
126	3050	1753
127	3072	1728
128	3090	1701
129	3113	1676
130	3130	1648
131	3151	1623
132	3171	1597
133	3191	1571
134	3212	1546
135	3232	1521
136	3252	1495
137	3274	1471
138	3296	1446
139	3318	1422
140	3337	1396
141	3361	1372
142	3383	1348
143	3402	1323
144	3423	1298
145	3443	1273
146	3458	1247
147	3479	1222
148	3498	1197
149	3519	1173
150	3551	1152
151	3572	1128
152	3597	1105
153	3616	1080
154	3635	1055
155	3656	1031
156	3671	1005
157	3692	981
158	3713	957
159	3745	936
160	3774	914
161	3795	890
162	3815	866
163	3835	842
164	3851	817
165	3872	793
166	3892	769
167	3913	745
168	3932	721
169	3953	697
170	3974	674
171	3996	650
172	4017	626
173	4037	603
174	4057	579
175	4077	556
176	4098	532
177	4118	509
178	4138	485
179	4159	462
180	4177	438
181	4192	414
182	4212	391
183	4231	367
184	4251	344
185	4270	321
186	4291	298
187	4310	275
188	4331	252
189	4352	229
190	4371	206
191	4393	183
192	4413	160
193	4433	137
194	4453	114
195	4473	91
196	4493	68
197	4514	45
198	4533	22
199	4553	0
